datetime,Open,High,Low,Close,Volume,EMA25,EMA50,EMA100,MACD,MACD_Signal,MACD_Hist,K,D,J,BB_Mid,BB_Upper,BB_Lower,ATR,Ichimoku_Conversion,Ichimoku_Base,Ichimoku_Leading_A,Ichimoku_Leading_B,SAR
2024-01-04 04:00:00,1.09177,1.09201,1.09156,1.09194,3011,1.0929714,1.095185,1.0981337,-0.0009905531,-0.0012781426,0.00028758947,71.42431,62.728188,88.81656,1.0922235,1.0950364,1.0894107,0.0014492857,1.091005,1.0929,1.0919524,1.09686,1.0876215
2024-01-04 05:00:00,1.09195,1.09308,1.09191,1.09261,3486,1.0929435,1.095084,1.0980244,-0.00087403605,-0.0011973212,0.00032328517,76.859024,67.43847,95.70015,1.092052,1.0942322,1.0898718,0.0013878571,1.091165,1.0929,1.0920326,1.096785,1.0879583
2024-01-04 06:00:00,1.09261,1.09286,1.09244,1.09259,2536,1.0929164,1.0949862,1.0979167,-0.0007743827,-0.0011127335,0.00033835083,78.0912,70.98938,92.29485,1.091918,1.0935175,1.0903184,0.0012985715,1.09182,1.0929,1.09236,1.096785,1.0882885
2024-01-04 07:00:00,1.09259,1.09269,1.09216,1.09265,4430,1.0928959,1.0948945,1.0978124,-0.00068269554,-0.0010267259,0.0003440304,79.70631,73.89502,91.32887,1.0918685,1.0932957,1.0904413,0.0010428572,1.09182,1.0929,1.09236,1.09657,1.0886122
2024-01-04 08:00:00,1.09265,1.09348,1.09205,1.09323,7368,1.0929216,1.0948293,1.0977217,-0.00055681303,-0.00093274337,0.00037593034,83.61699,77.13567,96.57961,1.09189,1.0933875,1.0903926,0.0010314286,1.09202,1.0929,1.09246,1.09657,1.0889294
2024-01-04 09:00:00,1.09323,1.09437,1.09294,1.09376,10469,1.0929861,1.0947874,1.0976433,-0.0004095625,-0.0008281072,0.0004185447,81.841934,78.70443,88.116936,1.0919805,1.0936961,1.0902649,0.0010828571,1.092965,1.0929,1.0929325,1.09657,1.0892402
2024-01-04 10:00:00,1.09376,1.09563,1.09346,1.09534,12145,1.0931672,1.094809,1.0975976,-0.00016348797,-0.00069518335,0.0005316954,85.519516,80.97613,94.60631,1.0921625,1.0944349,1.0898902,0.0011492857,1.093595,1.0929,1.0932475,1.09657,1.0895448
2024-01-04 11:00:00,1.09534,1.09691,1.09452,1.09676,11493,1.0934435,1.0948856,1.097581,0.00014444489,-0.0005272577,0.00067170255,89.411766,83.788,100.65929,1.0923924,1.0954568,1.089328,0.0010821428,1.094235,1.09308,1.0936575,1.09657,1.0898433
2024-01-04 12:00:00,1.09677,1.09723,1.09543,1.09557,9084,1.0936071,1.0949124,1.0975412,0.00028912796,-0.00036398057,0.0006531085,83.18221,83.586075,82.37449,1.092582,1.0959414,1.0892226,0.0011514286,1.094395,1.09324,1.0938175,1.09657,1.0901358
2024-01-04 13:00:00,1.09556,1.09579,1.09462,1.09479,6295,1.0936981,1.0949076,1.0974867,0.00033696654,-0.00022379114,0.00056075765,73.49992,80.22402,60.051716,1.092798,1.0961412,1.0894549,0.0011971429,1.09457,1.09324,1.093905,1.09657,1.0904225
